"State","prop_2000","prop_2019","pop_2000","pop_2019","actual_2000","actual_2019","cf_2019","diff"
"Alabama",0.015832723869985,0.0150316784258638,4331963,4758128,0.400963720142577,0.392550179398284,0.428019879202239,-0.0354696998039544
"Alaska",0.0022181206962752,0.00224145107661169,606896,709509,0.365230616118742,0.357084970028569,0.388224772819512,-0.0311398027909424
"Arizona",0.0183591650096592,0.0217728415357408,5023218,6891976,0.378666026439625,0.37307776463528,0.406265800202993,-0.0331880355677132
"Arkansas",0.0094953003874756,0.00920900577144691,2597992,2915019,0.40164095963344,0.397285918204993,0.421591177341113,-0.02430525913612
"California",0.120817400955406,0.121464231598585,33056631,38448292,0.348443887097872,0.339243132048623,0.373699764837961,-0.0344566327893379
"Colorado",0.0153403775058711,0.0173404227283302,4197253,5488938,0.394688383092465,0.391518723658383,0.424464285967991,-0.0329455623096074
"Connecticut",0.0120601321901195,0.0109358110449941,3299751,3461622,0.394527950745374,0.395928267153375,0.411917444140632,-0.0159891769872572
"Delaware",0.00277250102103119,0.00294361818385348,758579,931773,0.393629404452272,0.389902905536005,0.417666865935775,-0.0277639603997695
"District of Columbia",0.00195925052610358,0.00206471197889617,536067,653564,0.462848860310372,0.435094344241727,0.504344146979234,-0.069249802737507
"Florida",0.057001395736703,0.0646599696770109,15596049,20467469,0.407131190726574,0.377970036256071,0.420142281064142,-0.0421722448080716
"Georgia",0.0290620863896273,0.032040370602854,7951625,10142060,0.378542247653781,0.370596506035263,0.397793067030188,-0.0271965609949248
"Hawaii",0.00429834347615209,0.00434996162286379,1176062,1376937,0.34312816841289,0.333602771949624,0.359099876730927,-0.0254971047813026
"Idaho",0.00461411618171744,0.00532913950467321,1262460,1686886,0.373112019390713,0.373418239288251,0.399701456747459,-0.0262832174592081
"Illinois",0.0442004999155818,0.0393977748798751,12093619,12470973,0.379381721881597,0.388568077246258,0.404247533075605,-0.0156794558293466
"Indiana",0.0215735972381968,0.020456774197478,5902713,6475388,0.396129203639072,0.396913513136201,0.41248988754905,-0.0155763744128485
"Iowa",0.0103029077765745,0.00960571704494099,2818960,3040594,0.40761380083435,0.416173616076332,0.428142547332132,-0.0119689312558
"Kansas",0.00952020826715369,0.00893923578715481,2604807,2829626,0.399423450566587,0.399060865287497,0.418628883369649,-0.0195680180821515
"Kentucky",0.0143485029752124,0.013637921072568,3925868,4316948,0.405044693300946,0.401799836365877,0.42919504889358,-0.0273952125277034
"Louisiana",0.015838103825801,0.0143267912835316,4333435,4535003,0.382715790129539,0.383567772722532,0.416124247922476,-0.0325564751999444
"Maine",0.00453147976799452,0.00410086516892205,1239850,1298088,0.418167520264548,0.43123424606036,0.459713198209166,-0.0284789521488064
"Maryland",0.0188779177465792,0.0185681758030013,5165153,5877571,0.383165222792045,0.375165693447174,0.400802706013412,-0.0256370125662381
"Massachusetts",0.0224081409549886,0.0208548976146253,6131051,6601410,0.399085409663041,0.396488780427212,0.423886857830668,-0.0273980774034559
"Michigan",0.0353954383566618,0.0307541162392116,9684482,9734909,0.390896797577816,0.404198847672844,0.4199828837471,-0.0157840360742556
"Minnesota",0.0174555882728586,0.0171561174470588,4775992,5430598,0.396251082497626,0.402452179299591,0.422417029504364,-0.0199648502047728
"Mississippi",0.010044775888383,0.00912631796836163,2748333,2888845,0.38132387887494,0.382299846478437,0.414307990816539,-0.0320081443381026
"Missouri",0.0198563021842237,0.0187305280949076,5432847,5928962,0.404978089756623,0.407243628817321,0.43147789683376,-0.0242342680164395
"Montana",0.0032079448497513,0.0032277339049,877720,1021707,0.408190539124094,0.418740402091793,0.447542334414952,-0.0288019323231589
"Nebraska",0.00606296898380547,0.00588192582300664,1658878,1861865,0.401071688213359,0.407681008021527,0.418628996954464,-0.0109479889329375
"Nevada",0.00718772696117527,0.00926724169114103,1966621,2933453,0.382084295855683,0.374479836561213,0.39724611700075,-0.0227662804395374
"New Hampshire",0.00438286945316093,0.00412425241604669,1199189,1305491,0.396230285634708,0.407533257601929,0.437515356635849,-0.0299820990339201
"New Jersey",0.0300451307754141,0.0274672650095185,8220594,8694489,0.373133012042682,0.371689123995671,0.38761433278964,-0.0159252087939683
"New Mexico",0.00651127426939825,0.00646495476145681,1781538,2046417,0.379897594101277,0.3812282638387,0.416033972181953,-0.0348057083432534
"New York",0.0672244484489948,0.0600136569139308,18393160,18996725,0.384355869247046,0.38653736367716,0.406174446160139,-0.0196370824829785
"North Carolina",0.0284811717719201,0.0315505968512027,7792682,9987027,0.402317584626192,0.397057702958047,0.42139825577125,-0.0243405528132021
"North Dakota",0.00226128460808712,0.00230872850667603,618706,730805,0.416199293363892,0.435454054091037,0.449431935054296,-0.0139778809632598
"Ohio",0.0403994076273922,0.035819674550234,11053609,11338361,0.402402057101893,0.412440298910927,0.431215870300986,-0.0187755713900588
"Oklahoma",0.0121972187273119,0.0120768452308942,3337259,3822805,0.402637314035261,0.387161521448256,0.420777804584127,-0.0336162831358709
"Oregon",0.0122339427735342,0.0127585978587467,3347307,4038607,0.39902046630321,0.399084139655084,0.42638179396261,-0.0272976543075263
"Pennsylvania",0.043279880560595,0.0390623702277103,11841730,12364804,0.403749452149306,0.408640444280395,0.430655145517106,-0.0220147012367114
"Rhode Island",0.00368985293002646,0.00320891795948945,1009574,1015751,0.405571062646225,0.404103958548896,0.433971178099753,-0.0298672195508565
"South Carolina",0.0141754050897489,0.0154281527625033,3878507,4883628,0.396346841709967,0.393531407388114,0.424911876160259,-0.0313804687721455
"South Dakota",0.00265115597140649,0.00264281263077137,725378,836556,0.400865479791226,0.411640105384457,0.426133371141069,-0.0144932657566118
"Tennessee",0.0202477524476195,0.0206947219826229,5539951,6550708,0.403116561861287,0.396466458282067,0.425372059502401,-0.0289056012203341
"Texas",0.0741387223434591,0.0873790485534604,20284962,27658967,0.36477835156901,0.350400866380874,0.379511312888786,-0.0291104465079121
"Utah",0.00800221279921824,0.00963301848890305,2189471,3049236,0.320005608660722,0.320510121223808,0.342921509628924,-0.0224113884051154
"Vermont",0.00214749050188354,0.00189201660349856,587571,598899,0.410525706680554,0.434211778613756,0.459768295569438,-0.0255565169556816
"Virginia",0.0250297948860779,0.0259319205102505,6848357,8208491,0.394095255256115,0.383847774213312,0.412827359080437,-0.0289795848671251
"Washington",0.0210417381686978,0.022919536932886,5757192,7254951,0.394484846084688,0.392591624671207,0.419822637610136,-0.0272310129389287
"West Virginia",0.00645380888536617,0.00559108741360658,1765815,1769803,0.415864629080623,0.4139483321025,0.447181409977454,-0.0332330778749544
"Wisconsin",0.0190090249307043,0.017825972685654,5201025,5642634,0.400776385424027,0.417858751781526,0.429415922733083,-0.0115571709515569
"Wyoming",0.00175339411891519,0.00179050337752854,479743,566766,0.404283126590695,0.405908258434698,0.437068763490695,-0.0311605050559974
