"State","prop_2000","prop_2019","pop_2000","pop_2019","observed_2000","observed_2019","expected_2019","diff"
"Alabama",0.015832723869985,0.0149550861883948,4331963,4786560,0.400963720142577,0.396462177430138,0.431599686790139,-0.0351375093600018
"Alaska",0.0022181206962752,0.00219515980055236,606896,702588,0.365230616118742,0.35888031107847,0.388123045114587,-0.0292427340361171
"Arizona",0.0183591650096592,0.0222357426434927,5023218,7116824,0.378666026439625,0.375221306582824,0.411917614313065,-0.0366963077302411
"Arkansas",0.0094953003874756,0.00916631718267592,2597992,2933793,0.40164095963344,0.396652729078023,0.422550162805124,-0.025897433727101
"California",0.120817400955406,0.120814285846581,33056631,38668104,0.348443887097872,0.340250869295272,0.378960195623097,-0.0387093263278247
"Colorado",0.0153403775058711,0.0176178861251121,4197253,5638822,0.394688383092465,0.396379775775862,0.431735991956904,-0.0353562161810421
"Connecticut",0.0120601321901195,0.0107909350211978,3299751,3453772,0.394527950745374,0.398733037386371,0.415000064424054,-0.0162670270376835
"Delaware",0.00277250102103119,0.0029557897263192,758579,946037,0.393629404452272,0.397566902774416,0.422412309361903,-0.024845406587487
"District of Columbia",0.00195925052610358,0.00208362840605044,536067,666891,0.462848860310372,0.437270858356163,0.506002935081059,-0.0687320767248959
"Florida",0.057001395736703,0.0657494832850504,15596049,21043934,0.407131190726574,0.375676049924886,0.422551044322354,-0.0468749943974684
"Georgia",0.0290620863896273,0.0323392709722919,7951625,10350583,0.378542247653781,0.372230047331633,0.403559189094909,-0.0313291417632753
"Hawaii",0.00429834347615209,0.00428359664473873,1176062,1371018,0.34312816841289,0.339303349773672,0.370298889394258,-0.0309955396205858
"Idaho",0.00461411618171744,0.00548872434067127,1262460,1756734,0.373112019390713,0.37335134402818,0.405118717257879,-0.0317673732296995
"Illinois",0.0442004999155818,0.0386545967600038,12093619,12371881,0.379381721881597,0.393306159346344,0.409044204197172,-0.0157380448508284
"Indiana",0.0215735972381968,0.0204378523149496,5902713,6541387,0.396129203639072,0.397124952246366,0.412971893640997,-0.0158469413946311
"Iowa",0.0103029077765745,0.00955452592005605,2818960,3058044,0.40761380083435,0.420893878570747,0.431077412610855,-0.010183534040108
